,model,metric,fold,value
111,GradientBoosting,precision,1,0.6666666666666666
112,GradientBoosting,precision,2,0.6428571428571429
113,GradientBoosting,precision,3,0.75
114,GradientBoosting,precision,4,0.7916666666666666
115,GradientBoosting,precision,5,0.6153846153846154
116,GradientBoosting,precision,6,0.6296296296296297
117,GradientBoosting,precision,7,0.6333333333333333
118,GradientBoosting,precision,8,0.6451612903225806
119,GradientBoosting,precision,9,0.4583333333333333
120,GradientBoosting,recall,0,0.7037037037037037
121,GradientBoosting,recall,1,0.5185185185185185
122,GradientBoosting,recall,2,0.6666666666666666
123,GradientBoosting,recall,3,0.6666666666666666
124,GradientBoosting,recall,4,0.7037037037037037
125,GradientBoosting,recall,5,0.5925925925925926
126,GradientBoosting,recall,6,0.6296296296296297
127,GradientBoosting,recall,7,0.7037037037037037
128,GradientBoosting,recall,8,0.7692307692307693
129,GradientBoosting,recall,9,0.4230769230769231
130,GradientBoosting,f1,0,0.6551724137931034
131,GradientBoosting,f1,1,0.5833333333333334
132,GradientBoosting,f1,2,0.6545454545454545
133,GradientBoosting,f1,3,0.7058823529411765
134,GradientBoosting,f1,4,0.7450980392156863
135,GradientBoosting,f1,5,0.6037735849056604
136,GradientBoosting,f1,6,0.6296296296296297
137,GradientBoosting,f1,7,0.6666666666666666
138,GradientBoosting,f1,8,0.7017543859649122
139,GradientBoosting,f1,9,0.44
140,GradientBoosting,balanced_accuracy,0,0.7318518518518519
141,GradientBoosting,balanced_accuracy,1,0.6892592592592592
142,GradientBoosting,balanced_accuracy,2,0.7333333333333334
143,GradientBoosting,balanced_accuracy,3,0.7733333333333333
144,GradientBoosting,balanced_accuracy,4,0.8018518518518518
145,GradientBoosting,balanced_accuracy,5,0.6962962962962963
146,GradientBoosting,balanced_accuracy,6,0.7148148148148148
147,GradientBoosting,balanced_accuracy,7,0.7418518518518519
148,GradientBoosting,balanced_accuracy,8,0.7746153846153847
149,GradientBoosting,balanced_accuracy,9,0.5815384615384616
150,GradientBoosting,mcc,0,0.4511777625672017
151,GradientBoosting,mcc,1,0.40555555555555556
152,GradientBoosting,mcc,2,0.4629100498862757
153,GradientBoosting,mcc,3,0.563178312189625
154,GradientBoosting,mcc,4,0.6219381089898975
155,GradientBoosting,mcc,5,0.3961295342422729
156,GradientBoosting,mcc,6,0.42962962962962964
157,GradientBoosting,mcc,7,0.4733002574487753
158,GradientBoosting,mcc,8,0.5301996440313944
159,GradientBoosting,mcc,9,0.16643968765065184
160,GradientBoosting,tn_rate,0,0.4935064935064935
161,GradientBoosting,tn_rate,1,0.5584415584415584
162,GradientBoosting,tn_rate,2,0.5194805194805194
163,GradientBoosting,tn_rate,3,0.5714285714285714
164,GradientBoosting,tn_rate,4,0.5844155844155844
165,GradientBoosting,tn_rate,5,0.5194805194805194
166,GradientBoosting,tn_rate,6,0.5194805194805194
167,GradientBoosting,tn_rate,7,0.5064935064935064
168,GradientBoosting,tn_rate,8,0.5131578947368421
169,GradientBoosting,tn_rate,9,0.4868421052631579
170,GradientBoosting,fp_rate,0,0.15584415584415584
171,GradientBoosting,fp_rate,1,0.09090909090909091
172,GradientBoosting,fp_rate,2,0.12987012987012986
173,GradientBoosting,fp_rate,3,0.07792207792207792
174,GradientBoosting,fp_rate,4,0.06493506493506493
175,GradientBoosting,fp_rate,5,0.12987012987012986
176,GradientBoosting,fp_rate,6,0.12987012987012986
177,GradientBoosting,fp_rate,7,0.14285714285714285
178,GradientBoosting,fp_rate,8,0.14473684210526316
179,GradientBoosting,fp_rate,9,0.17105263157894737
180,GradientBoosting,fn_rate,0,0.1038961038961039
181,GradientBoosting,fn_rate,1,0.16883116883116883
182,GradientBoosting,fn_rate,2,0.11688311688311688
183,GradientBoosting,fn_rate,3,0.11688311688311688
184,GradientBoosting,fn_rate,4,0.1038961038961039
185,GradientBoosting,fn_rate,5,0.14285714285714285
186,GradientBoosting,fn_rate,6,0.12987012987012986
187,GradientBoosting,fn_rate,7,0.1038961038961039
188,GradientBoosting,fn_rate,8,0.07894736842105263
189,GradientBoosting,fn_rate,9,0.19736842105263158
190,GradientBoosting,tp_rate,0,0.24675324675324675
191,GradientBoosting,tp_rate,1,0.18181818181818182
192,GradientBoosting,tp_rate,2,0.23376623376623376
193,GradientBoosting,tp_rate,3,0.23376623376623376
194,GradientBoosting,tp_rate,4,0.24675324675324675
195,GradientBoosting,tp_rate,5,0.2077922077922078
196,GradientBoosting,tp_rate,6,0.22077922077922077
197,GradientBoosting,tp_rate,7,0.24675324675324675
198,GradientBoosting,tp_rate,8,0.2631578947368421
199,GradientBoosting,tp_rate,9,0.14473684210526316
200,MultiLayerPerceptron,accuracy,0,0.7402597402597403
201,MultiLayerPerceptron,accuracy,1,0.7142857142857143
202,MultiLayerPerceptron,accuracy,2,0.6493506493506493
203,MultiLayerPerceptron,accuracy,3,0.7402597402597403
204,MultiLayerPerceptron,accuracy,4,0.6753246753246753
205,MultiLayerPerceptron,accuracy,5,0.7792207792207793
206,MultiLayerPerceptron,accuracy,6,0.6363636363636364
207,MultiLayerPerceptron,accuracy,7,0.7142857142857143
208,MultiLayerPerceptron,accuracy,8,0.7105263157894737
209,MultiLayerPerceptron,accuracy,9,0.6973684210526315
210,MultiLayerPerceptron,precision,0,0.7333333333333333
211,MultiLayerPerceptron,precision,1,0.6190476190476191
212,MultiLayerPerceptron,precision,2,0.5
213,MultiLayerPerceptron,precision,3,0.6129032258064516
214,MultiLayerPerceptron,precision,4,0.5714285714285714
215,MultiLayerPerceptron,precision,5,0.7083333333333334
216,MultiLayerPerceptron,precision,6,0.4838709677419355
217,MultiLayerPerceptron,precision,7,0.6086956521739131
218,MultiLayerPerceptron,precision,8,0.6666666666666666
219,MultiLayerPerceptron,precision,9,0.5714285714285714
220,MultiLayerPerceptron,recall,0,0.4074074074074074
221,MultiLayerPerceptron,recall,1,0.48148148148148145
222,MultiLayerPerceptron,recall,2,0.5185185185185185
223,MultiLayerPerceptron,recall,3,0.7037037037037037
224,MultiLayerPerceptron,recall,4,0.2962962962962963
225,MultiLayerPerceptron,recall,5,0.6296296296296297
226,MultiLayerPerceptron,recall,6,0.5555555555555556
227,MultiLayerPerceptron,recall,7,0.5185185185185185
228,MultiLayerPerceptron,recall,8,0.3076923076923077
229,MultiLayerPerceptron,recall,9,0.46153846153846156
230,MultiLayerPerceptron,f1,0,0.5238095238095238
231,MultiLayerPerceptron,f1,1,0.5416666666666666
232,MultiLayerPerceptron,f1,2,0.509090909090909
233,MultiLayerPerceptron,f1,3,0.6551724137931034
234,MultiLayerPerceptron,f1,4,0.3902439024390244
235,MultiLayerPerceptron,f1,5,0.6666666666666666
236,MultiLayerPerceptron,f1,6,0.5172413793103449
237,MultiLayerPerceptron,f1,7,0.56
238,MultiLayerPerceptron,f1,8,0.42105263157894735
239,MultiLayerPerceptron,f1,9,0.5106382978723404
240,MultiLayerPerceptron,balanced_accuracy,0,0.6637037037037037
241,MultiLayerPerceptron,balanced_accuracy,1,0.6607407407407407
242,MultiLayerPerceptron,balanced_accuracy,2,0.6192592592592592
